experiment,phase,loss,acc,timeuse,Weighted_Precision,Balanced_acc,f1_micro,f1_macro,f1_weighted,Top_3_acc,Top_5_acc,Top_10_acc,roc_auc_score(ovr),roc_auc_score(ovo)
all_C224_Rorg,train,1.0966105319920163,0.6668050057463925,475.9070007801056,0.6936833366541918,0.6641427447126708,0.6668050057463926,0.6668554959593027,0.6668722988641121,0.8546641552802963,0.9115853658536586,0.9679478993742817,0.9543590373812371,0.9542761867353413
all_C224_Rorg,val,1.5998700156992645,0.5467441081201831,73.43377614021301,0.576136865391502,0.5438391073539981,0.5467441081201831,0.5465036813787938,0.5472470969312158,0.7566178934435385,0.8322350050262481,0.9193566402323243,0.9194699593913602,0.9192314809960215
all_C224_Rorg,test,1.607484671323659,0.5455865921787709,130.9658088684082,0.5753247950807127,0.5415866308117812,0.5455865921787709,0.5448434241426392,0.546130025445956,0.7515083798882681,0.8244134078212291,0.9176536312849162,0.9187869774134125,0.918628140752263
all_C690_R224,train,0.8862627763774467,0.7228802196398927,473.08014702796936,0.7381050159019902,0.7242693554284799,0.7228802196398927,0.722447704830245,0.7225041969113096,0.8974109309155919,0.9436534286808836,0.9833194994253608,0.9660323394566532,0.9658834969241772
all_C690_R224,val,1.3415142256701231,0.6209091924494583,72.94984030723572,0.6382782340260669,0.6234510149090213,0.6209091924494583,0.6214000411634406,0.6207644124250026,0.8121300122863845,0.8769127666703899,0.9496258237462303,0.9414212428894021,0.9411833890432649
all_C690_R224,test,1.3136027158971606,0.6280446927374301,131.61019706726074,0.6465750178363432,0.6289301071299692,0.6280446927374301,0.6282136135963482,0.6287848583602008,0.8173743016759777,0.8831843575418994,0.9515083798882682,0.943127876375111,0.9428784809301091
all_Corg_R224,train,0.751738548949085,0.7633603626612182,472.5415532588959,0.768672568933768,0.7628392489506343,0.7633603626612181,0.7604741441992484,0.7615833503809373,0.9212424977652918,0.9600625718299067,0.9890978163708338,0.973502069568972,0.9733334489858217
all_Corg_R224,val,1.258671842123508,0.6411258795934324,72.28017330169678,0.64726198612376,0.6402887415861243,0.6411258795934324,0.6366910900118314,0.6386451426592498,0.831564838601586,0.8945604825198258,0.9559924047805205,0.9485533250916994,0.9483388028700817
all_Corg_R224,test,1.2683088060197882,0.6399441340782123,129.0071840286255,0.6438290651552226,0.6384744272610852,0.6399441340782123,0.635944525290915,0.6375238855904135,0.8264245810055866,0.8898324022346369,0.9551396648044693,0.9471135428283745,0.9468934673510238
