experiment,phase,loss,acc,timeuse,Weighted_Precision,Balanced_acc,f1_micro,f1_macro,f1_weighted,Top_3_acc,Top_5_acc,Top_10_acc,roc_auc_score(ovr),roc_auc_score(ovo)
all_Corg_R224_mask-sky,train,0.9960793022595821,0.6918816243136253,479.74378871917725,0.7130437340062866,0.6933077129172834,0.6918816243136253,0.6939815548319799,0.6937395399161237,0.8779210828757502,0.9305324990422679,0.9764238283744094,0.9608787590351868,0.9607341589190957
all_Corg_R224_mask-sky,val,1.333371862075082,0.6056070590863398,73.95358061790466,0.6320357876466605,0.6062178774246858,0.6056070590863398,0.6082595449164163,0.6084326248788936,0.8069920696973082,0.8770244610745002,0.9487322685133475,0.9407585163631155,0.940544489216489
all_Corg_R224_mask-sky,test,1.3720660737439907,0.6022346368715084,132.73998260498047,0.6304481321435077,0.6025418449328744,0.6022346368715084,0.605348772399179,0.6057021255910899,0.8037430167597766,0.8721787709497206,0.9439664804469273,0.9383779804690058,0.9382027319430353
all_Corg_R224_no-mask,train,0.751738548949085,0.7633603626612182,472.5415532588959,0.768672568933768,0.7628392489506343,0.7633603626612181,0.7604741441992484,0.7615833503809373,0.9212424977652918,0.9600625718299067,0.9890978163708338,0.973502069568972,0.9733334489858217
all_Corg_R224_no-mask,val,1.258671842123508,0.6411258795934324,72.28017330169678,0.64726198612376,0.6402887415861243,0.6411258795934324,0.6366910900118314,0.6386451426592498,0.831564838601586,0.8945604825198258,0.9559924047805205,0.9485533250916994,0.9483388028700817
all_Corg_R224_no-mask,test,1.2683088060197882,0.6399441340782123,129.0071840286255,0.6438290651552226,0.6384744272610852,0.6399441340782123,0.635944525290915,0.6375238855904135,0.8264245810055866,0.8898324022346369,0.9551396648044693,0.9471135428283745,0.9468934673510238
