experiment,phase,loss,acc,timeuse,Weighted_Precision,Balanced_acc,f1_micro,f1_macro,f1_weighted,Top_3_acc,Top_5_acc,Top_10_acc,roc_auc_score(ovr),roc_auc_score(ovo)
all_C690_R224,train,0.8862627763774467,0.7228802196398927,473.08014702796936,0.7381050159019902,0.7242693554284799,0.7228802196398927,0.722447704830245,0.7225041969113096,0.8974109309155919,0.9436534286808836,0.9833194994253608,0.9660323394566532,0.9658834969241772
all_C690_R224,val,1.3415142256701231,0.6209091924494583,72.94984030723572,0.6382782340260669,0.6234510149090213,0.6209091924494583,0.6214000411634406,0.6207644124250026,0.8121300122863845,0.8769127666703899,0.9496258237462303,0.9414212428894021,0.9411833890432649
all_C690_R224,test,1.3136027158971606,0.6280446927374301,131.61019706726074,0.6465750178363432,0.6289301071299692,0.6280446927374301,0.6282136135963482,0.6287848583602008,0.8173743016759777,0.8831843575418994,0.9515083798882682,0.943127876375111,0.9428784809301091
SP1500_C690_R224,train,2.2704073964775384,0.3493795093795094,266.25513076782227,0.4110350061169085,0.3493795093795094,0.3493795093795094,0.3391389637570123,0.33913896375701225,0.5806926406926407,0.6961327561327562,0.8495815295815295,0.8740772654263727,0.8740772654263727
SP1500_C690_R224,val,2.4089940726154984,0.31212121212121213,44.441565990448,0.3524363655001866,0.31212121212121213,0.31212121212121213,0.29946904762390725,0.2994690476239073,0.5521212121212121,0.6622222222222223,0.8286868686868687,0.8592422348484848,0.8592422348484848
SP1500_C690_R224,test,2.390204031058032,0.3280808080808081,70.76086211204529,0.37385614992987126,0.3280808080808081,0.3280808080808081,0.3140735503004891,0.3140735503004891,0.555050505050505,0.6690909090909091,0.8286868686868687,0.8588649726430977,0.8588649726430977
SP2000_C690_R224,train,2.4013743354128554,0.300995670995671,352.8331079483032,0.31540348507129495,0.300995670995671,0.300995670995671,0.286004225232653,0.28600422523265295,0.5431601731601732,0.6659307359307359,0.8315367965367966,0.8571915927450525,0.8571915927450525
SP2000_C690_R224,val,2.4754161834716797,0.2777272727272727,47.234835624694824,0.29590971962302115,0.27772727272727277,0.2777272727272727,0.25968219637623935,0.25968219637623935,0.5259090909090909,0.6475757575757576,0.8215151515151515,0.848936943655303,0.848936943655303
SP2000_C690_R224,test,2.4704557539838734,0.2815151515151515,94.40567326545715,0.29320475214927444,0.28151515151515155,0.2815151515151515,0.2623474796128827,0.2623474796128827,0.5284848484848484,0.6534848484848484,0.82,0.8503869554924242,0.8503869554924242
